67,Vikings War of Clans - Battle Cry,Vikings_War_of_Clans_-_Battle_Cry.mp3,techno,false,1,2022-08-06 10:12:53.000000 +00:00,true,3199
68,Anjulie - Where The Love Goes (feat. Oskar Flood),Anjulie_-_Where_The_Love_Goes_(feat._Oskar_Flood).mp3,dance,true,1,2022-08-06 17:23:25.000000 +00:00,true,3200
69,SARY - Starlight Dancing,SARY_-_Starlight_Dancing.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,3292
70,Manafest - Firestarter,Manafest_-_Firestarter.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,3317
71,Hallman - Endless Dawn,Hallman_-_Endless_Dawn.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,3603
72,Avril Lavigne - Bite Me,Avril_Lavigne_-_Bite_Me.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,3670
73,AJR - Pretender,AJR_-_Pretender.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,3758
74,Different Heaven - Nekozilla,Different_Heaven_-_Nekozilla.mp3,electronic,true,1,2022-08-06 10:36:25.000000 +00:00,true,3772
75,Amaranthe - Electroheart,Amaranthe_-_Electroheart.mp3,rock,false,1,2022-08-06 09:23:36.000000 +00:00,true,3859
76,Jamie Berry - Sour Puss,Jamie_Berry_-_Sour_Puss.mp3,dance,false,1,2022-08-06 09:40:35.000000 +00:00,true,3865
77,Amaranthe - Drop Dead Cynical,Amaranthe_-_Drop_Dead_Cynical.mp3,rock,false,1,2022-08-06 09:23:36.000000 +00:00,true,3893
78,League of Legends Alan Walker Again - Legends Never Die,League_of_Legends_Alan_Walker_Again_-_Legends_Never_Die.mp3,electronic,true,1,2022-08-06 17:31:02.000000 +00:00,true,3914
79,Alan Walker - The Spectre,Alan_Walker_-_The_Spectre.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,3938
80,Lost Sky - Lost,Lost_Sky_-_Lost.mp3,electronic,true,1,2022-08-06 17:31:02.000000 +00:00,true,3963
81,Muse - Thought Contagion,Muse_-_Thought_Contagion.mp3,rock,true,1,2022-08-06 09:51:13.000000 +00:00,true,4078
82,Tonight Alive - Wasting Away,Tonight_Alive_-_Wasting_Away.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,4347
83,Skillet - Hero,Skillet_-_Hero.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,4350
84,Muse - Hysteria,Muse_-_Hysteria.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,4404
85,2nd Life - Confidence,2nd_Life_-_Confidence.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,4416
86,"LUMX ft. KSHMR, Gabry Ponte, Karra - Scare Me (Chico Rose Remix)","LUMX_ft._KSHMR,_Gabry_Ponte,_Karra_-_Scare_Me_(Chico_Rose_Remix).mp3",electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,4485
87,The Fat Rat - Windfall,The_Fat_Rat_-_Windfall.mp3,electronic,false,1,2022-08-06 10:03:59.000000 +00:00,true,4541
88,Jim Yosef - Link NCS Release,Jim_Yosef_-_Link_NCS_Release.mp3,electronic,false,1,2022-08-06 10:31:37.000000 +00:00,true,4569
89,Amy Shark - I Said Hi,Amy_Shark_-_I_Said_Hi.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,4620
90,Klaas - Fighter (Mazza & Tenashar Remix),Klaas_-_Fighter_(Mazza_&_Tenashar_Remix).mp3,electronic,true,1,2022-08-06 17:27:51.000000 +00:00,true,4706
91,The Fat Rat - Unity,The_Fat_Rat_-_Unity.mp3,electronic,false,1,2022-08-06 10:02:06.000000 +00:00,true,4810
92,All Good Things - Sirens,All_Good_Things_-_Sirens.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,4944
93,"Klaas - Take My Hand (feat. Sary, Freischwimmer)","Klaas_-_Take_My_Hand_(feat._Sary,_Freischwimmer).mp3",electronic,true,1,2022-08-06 17:27:51.000000 +00:00,true,4985
94,Sia - Unstoppable,Sia_-_Unstoppable.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,4986
95,Waterflame - Electroman Adventures,Waterflame_-_Electroman_Adventures.mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,5044
96,Hinder - Heaven Sent,Hinder_-_Heaven_Sent.mp3,rock,false,1,2022-08-06 09:38:11.000000 +00:00,true,5172
97,Adelitas Way - The Collapse,Adelitas_Way_-_The_Collapse.mp3,rock,false,1,2022-08-06 09:23:36.000000 +00:00,true,5202
98,Apocayiptica and Matze Sayer - Hope Feat,Apocayiptica_and_Matze_Sayer_-_Hope_Feat.mp3,rock,false,1,2022-06-19 03:35:13.000000 +00:00,true,5262
99,Imagine Dragons - Radioactive,Imagine_Dragons_-_Radioactive.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,5300
100,"Alan Walker - Different World (ft. K-391, Sofia Carson feat. CORSAK)","Alan_Walker_-_Different_World_(ft._K-391,_Sofia_Carson_feat._CORSAK).mp3",electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,5416
101,Guano Apes - Plastic mouth,Guano_Apes_-_Plastic_mouth.mp3,rock,false,1,2022-08-06 09:34:07.000000 +00:00,true,5431
102,Thomas Vent - Let It Grow,Thomas_Vent_-_Let_It_Grow.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,5444
103,Mindset Evolution - Home,Mindset_Evolution_-_Home.mp3,rock,false,1,2022-08-06 09:51:13.000000 +00:00,true,5472
104,Evanescence - My immortal,Evanescence_-_My_immortal.mp3,rock,false,1,2022-06-19 03:35:13.000000 +00:00,true,5550
105,"Gabry Ponte, LUMX, Robin Schulz - Monster","Gabry_Ponte,_LUMX,_Robin_Schulz_-_Monster.mp3",electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,5578
106,Halestorm - I Miss The Misery,Halestorm_-_I_Miss_The_Misery.mp3,rock,false,1,2022-08-06 09:35:25.000000 +00:00,true,5709
107,RetroVision - Found You,RetroVision_-_Found_You.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,5709
108,Vicetone - Shadow (feat. Allie X),Vicetone_-_Shadow_(feat._Allie_X).mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,5856
109,Skarlett Riot - Warrior,Skarlett_Riot_-_Warrior.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,5906
110,Marshmello - Alone,Marshmello_-_Alone.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,5978
